"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
22,"1","2025-01-24T10:49:13.766051Z",14538,"[{""start"":0,""end"":8,""text"":""राजस्थान"",""labels"":[""PROPN""]},{""start"":9,""end"":11,""text"":""के"",""labels"":[""ADP""]},{""start"":12,""end"":14,""text"":""CM"",""labels"":[""PROPN""]},{""start"":15,""end"":19,""text"":""बनने"",""labels"":[""VERB""]},{""start"":20,""end"":22,""text"":""के"",""labels"":[""ADP""]},{""start"":23,""end"":27,""text"":""सवाल"",""labels"":[""NOUN""]},{""start"":28,""end"":30,""text"":""पर"",""labels"":[""ADP""]},{""start"":31,""end"":35,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":36,""end"":40,""text"":""बोले"",""labels"":[""VERB""]},{""start"":41,""end"":49,""text"":""केंद्रीय"",""labels"":[""ADJ""]},{""start"":50,""end"":56,""text"":""मंत्री"",""labels"":[""NOUN""]},{""start"":57,""end"":64,""text"":""गजेंद्र"",""labels"":[""PROPN""]},{""start"":65,""end"":69,""text"":""सिंह"",""labels"":[""PROPN""]},{""start"":70,""end"":76,""text"":""शेखावत"",""labels"":[""PROPN""]},{""start"":76,""end"":79,""text"":""..."",""labels"":[""X""]},{""start"":80,""end"":85,""text"":""देखिए"",""labels"":[""VERB""]},{""start"":86,""end"":90,""text"":""पूरा"",""labels"":[""ADJ""]},{""start"":91,""end"":100,""text"":""Interview"",""labels"":[""NOUN""]}]",395.756,"राजस्थान के CM बनने के सवाल पर क्या बोले केंद्रीय मंत्री गजेंद्र सिंह शेखावत... देखिए पूरा Interview","2025-01-24T10:49:13.766051Z"
23,"1","2025-01-24T10:55:00.198146Z",14539,"[{""start"":0,""end"":5,""text"":""World"",""labels"":[""PROPN""]},{""start"":6,""end"":10,""text"":""Cup "",""labels"":[""PROPN""]},{""start"":10,""end"":15,""text"":""Final"",""labels"":[""PROPN""]},{""start"":16,""end"":20,""text"":""2023"",""labels"":[""NUM""]},{""start"":20,""end"":21,""text"":"":"",""labels"":[""X""]},{""start"":22,""end"":26,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":27,""end"":38,""text"":""रोहित-विराट"",""labels"":[""PROPN""]},{""start"":39,""end"":41,""text"":""अब"",""labels"":[""ADJ""]},{""start"":42,""end"":48,""text"":""वर्ल्ड"",""labels"":[""PROPN""]},{""start"":49,""end"":52,""text"":""कप "",""labels"":[""PROPN""]},{""start"":52,""end"":56,""text"":""नहीं"",""labels"":[""PART_NEG""]},{""start"":57,""end"":64,""text"":""खेलेंगे"",""labels"":[""VERB""]},{""start"":81,""end"":93,""text"":""Rohit Sharma"",""labels"":[""PROPN""]},{""start"":67,""end"":78,""text"":""Virat Kohli"",""labels"":[""PROPN""]},{""start"":65,""end"":66,""text"":""|"",""labels"":[""X""]},{""start"":79,""end"":80,""text"":""|"",""labels"":[""X""]}]",301.777,"World Cup Final 2023: क्या रोहित-विराट अब वर्ल्ड कप नहीं खेलेंगे | Virat Kohli | Rohit Sharma","2025-01-24T10:55:00.198146Z"
24,"1","2025-01-24T10:57:42.074330Z",14540,"[{""start"":0,""end"":11,""text"":""Uttarkashi "",""labels"":[""PROPN""]},{""start"":11,""end"":18,""text"":""Tunnel "",""labels"":[""NOUN""]},{""start"":18,""end"":24,""text"":""Rescue"",""labels"":[""NOUN""]},{""start"":24,""end"":25,""text"":"":"",""labels"":[""X""]},{""start"":26,""end"":36,""text"":""उत्तरकाशी "",""labels"":[""PROPN""]},{""start"":36,""end"":40,""text"":""टनल "",""labels"":[""NOUN""]},{""start"":40,""end"":44,""text"":""में "",""labels"":[""ADP""]},{""start"":44,""end"":49,""text"":""फंसे "",""labels"":[""VERB""]},{""start"":49,""end"":52,""text"":""41 "",""labels"":[""NUM""]},{""start"":52,""end"":60,""text"":""मजदूरों "",""labels"":[""NOUN""]},{""start"":60,""end"":63,""text"":""का "",""labels"":[""ADP""]},{""start"":63,""end"":68,""text"":""पहला "",""labels"":[""ADJ""]},{""start"":68,""end"":73,""text"":""VIDEO"",""labels"":[""PROPN""]}]",150.674,"Uttarkashi Tunnel Rescue: उत्तरकाशी टनल में फंसे 41 मजदूरों का पहला VIDEO","2025-01-24T10:57:42.074330Z"
25,"1","2025-01-24T10:59:51.601339Z",14541,"[{""start"":0,""end"":6,""text"":""World "",""labels"":[""PROPN""]},{""start"":6,""end"":10,""text"":""Cup "",""labels"":[""PROPN""]},{""start"":10,""end"":16,""text"":""Final "",""labels"":[""PROPN""]},{""start"":16,""end"":20,""text"":""2023"",""labels"":[""NUM""]},{""start"":20,""end"":21,""text"":"":"",""labels"":[""X""]},{""start"":22,""end"":28,""text"":""फाइनल "",""labels"":[""NOUN""]},{""start"":28,""end"":32,""text"":""में "",""labels"":[""ADP""]},{""start"":32,""end"":38,""text"":""INDIA "",""labels"":[""PROPN""]},{""start"":38,""end"":40,""text"":""6 "",""labels"":[""NUM""]},{""start"":40,""end"":46,""text"":""विकेट "",""labels"":[""NOUN""]},{""start"":46,""end"":49,""text"":""से "",""labels"":[""ADP""]},{""start"":49,""end"":53,""text"":""हारा"",""labels"":[""VERB""]},{""start"":54,""end"":56,""text"":""| "",""labels"":[""X""]},{""start"":56,""end"":60,""text"":""IND "",""labels"":[""PROPN""]},{""start"":60,""end"":63,""text"":""Vs "",""labels"":[""X""]},{""start"":63,""end"":66,""text"":""AUS"",""labels"":[""PROPN""]}]",120.11,"World Cup Final 2023: फाइनल में INDIA 6 विकेट से हारा | IND Vs AUS","2025-01-24T10:59:51.601339Z"
26,"1","2025-01-24T12:20:11.768886Z",14542,"[{""start"":0,""end"":6,""text"":""World "",""labels"":[""PROPN""]},{""start"":6,""end"":10,""text"":""Cup "",""labels"":[""PROPN""]},{""start"":10,""end"":16,""text"":""Final "",""labels"":[""PROPN""]},{""start"":16,""end"":20,""text"":""2023"",""labels"":[""NUM""]},{""start"":20,""end"":21,""text"":"":"",""labels"":[""X""]},{""start"":22,""end"":26,""text"":""मां "",""labels"":[""NOUN""]},{""start"":26,""end"":28,""text"":""ने"",""labels"":[""ADP""]},{""start"":29,""end"":33,""text"":""शमी "",""labels"":[""PROPN""]},{""start"":33,""end"":35,""text"":""से"",""labels"":[""ADP""]},{""start"":36,""end"":39,""text"":""कहा"",""labels"":[""VERB""]},{""start"":40,""end"":44,""text"":""बेटा"",""labels"":[""NOUN""]},{""start"":45,""end"":51,""text"":""world "",""labels"":[""PROPN""]},{""start"":51,""end"":55,""text"":""cup "",""labels"":[""PROPN""]},{""start"":55,""end"":60,""text"":""चाहिए"",""labels"":[""VERB""]},{""start"":60,""end"":61,""text"":"","",""labels"":[""X""]},{""start"":62,""end"":69,""text"":""finals "",""labels"":[""NOUN""]},{""start"":69,""end"":71,""text"":""से"",""labels"":[""ADP""]},{""start"":72,""end"":76,""text"":""पहले"",""labels"":[""ADV""]},{""start"":77,""end"":80,""text"":""शमी"",""labels"":[""PROPN""]},{""start"":81,""end"":83,""text"":""की"",""labels"":[""ADP""]},{""start"":84,""end"":90,""text"":""अम्मी "",""labels"":[""PROPN""]},{""start"":90,""end"":92,""text"":""से"",""labels"":[""ADP""]},{""start"":93,""end"":96,""text"":""बात"",""labels"":[""NOUN""]}]",406.853,"World Cup Final 2023: मां ने शमी से कहा बेटा world cup चाहिए, finals से पहले शमी की अम्मी से बात","2025-01-24T12:20:11.768886Z"
27,"1","2025-01-24T12:26:07.624889Z",14543,"[{""start"":6,""end"":10,""text"":""Cup "",""labels"":[""PROPN""]},{""start"":0,""end"":5,""text"":""World"",""labels"":[""PROPN""]},{""start"":10,""end"":16,""text"":""Final "",""labels"":[""PROPN""]},{""start"":16,""end"":21,""text"":""2023 "",""labels"":[""NUM""]},{""start"":21,""end"":25,""text"":""Ind "",""labels"":[""PROPN""]},{""start"":28,""end"":31,""text"":""Aus"",""labels"":[""PROPN""]},{""start"":25,""end"":28,""text"":""Vs "",""labels"":[""X""]},{""start"":31,""end"":32,""text"":"":"",""labels"":[""X""]},{""start"":33,""end"":39,""text"":""Bharat"",""labels"":[""PROPN""]},{""start"":40,""end"":42,""text"":""की"",""labels"":[""ADP""]},{""start"":43,""end"":47,""text"":""जीत "",""labels"":[""NOUN""]},{""start"":47,""end"":49,""text"":""के"",""labels"":[""ADP""]},{""start"":50,""end"":53,""text"":""लिए"",""labels"":[""ADP""]},{""start"":54,""end"":65,""text"":""महाकालेश्वर"",""labels"":[""PROPN""]},{""start"":66,""end"":71,""text"":""मंदिर"",""labels"":[""NOUN""]},{""start"":72,""end"":76,""text"":""में "",""labels"":[""ADP""]},{""start"":76,""end"":80,""text"":""पूजा"",""labels"":[""NOUN""]}]",147.741,"World Cup Final 2023 Ind Vs Aus: Bharat की जीत के लिए महाकालेश्वर मंदिर में पूजा","2025-01-24T12:26:07.624889Z"
28,"1","2025-01-24T12:36:50.861153Z",14544,"[{""start"":0,""end"":6,""text"":""World "",""labels"":[""PROPN""]},{""start"":6,""end"":10,""text"":""Cup "",""labels"":[""PROPN""]},{""start"":10,""end"":16,""text"":""Final "",""labels"":[""PROPN""]},{""start"":16,""end"":20,""text"":""2023"",""labels"":[""NUM""]},{""start"":21,""end"":25,""text"":""IND "",""labels"":[""PROPN""]},{""start"":28,""end"":31,""text"":""AUS"",""labels"":[""PROPN""]},{""start"":25,""end"":28,""text"":""Vs "",""labels"":[""X""]},{""start"":33,""end"":38,""text"":""Final"",""labels"":[""NOUN""]},{""start"":39,""end"":42,""text"":""के "",""labels"":[""ADP""]},{""start"":42,""end"":44,""text"":""22"",""labels"":[""NUM""]},{""start"":45,""end"":56,""text"":""खिलाड़ियों "",""labels"":[""NOUN""]},{""start"":56,""end"":58,""text"":""का"",""labels"":[""ADP""]},{""start"":59,""end"":64,""text"":""फेसऑफ"",""labels"":[""NOUN""]},{""start"":66,""end"":71,""text"":""भारत "",""labels"":[""PROPN""]},{""start"":71,""end"":73,""text"":""के"",""labels"":[""ADP""]},{""start"":74,""end"":77,""text"":""टॉप"",""labels"":[""ADJ""]},{""start"":77,""end"":78,""text"":""-"",""labels"":[""X""]},{""start"":78,""end"":79,""text"":""5"",""labels"":[""NUM""]},{""start"":80,""end"":86,""text"":""बैटर्स"",""labels"":[""NOUN""]},{""start"":87,""end"":90,""text"":""के "",""labels"":[""ADP""]},{""start"":90,""end"":93,""text"":""नाम"",""labels"":[""NOUN""]},{""start"":94,""end"":95,""text"":""7"",""labels"":[""NUM""]},{""start"":96,""end"":99,""text"":""शतक"",""labels"":[""NOUN""]}]",374.129,"World Cup Final 2023 IND Vs AUS: Final के 22 खिलाड़ियों का फेसऑफ, भारत के टॉप-5 बैटर्स के नाम 7 शतक","2025-01-24T12:36:50.861153Z"
29,"1","2025-01-24T12:41:21.369114Z",14545,"[{""start"":0,""end"":5,""text"":""Chhat"",""labels"":[""PROPN""]},{""start"":6,""end"":11,""text"":""Puja "",""labels"":[""PROPN""]},{""start"":11,""end"":15,""text"":""2023"",""labels"":[""NUM""]},{""start"":15,""end"":16,""text"":"":"",""labels"":[""X""]},{""start"":17,""end"":26,""text"":""नहाय-खाय "",""labels"":[""NOUN""]},{""start"":26,""end"":29,""text"":""के "",""labels"":[""ADP""]},{""start"":29,""end"":33,""text"":""साथ "",""labels"":[""ADP""]},{""start"":33,""end"":35,""text"":""छठ"",""labels"":[""PROPN""]},{""start"":36,""end"":43,""text"":""महापर्व"",""labels"":[""NOUN""]},{""start"":44,""end"":46,""text"":""की"",""labels"":[""ADP""]},{""start"":47,""end"":53,""text"":""शुरुआत"",""labels"":[""NOUN""]},{""start"":53,""end"":54,""text"":"":"",""labels"":[""X""]},{""start"":55,""end"":63,""text"":""व्रतियों"",""labels"":[""NOUN""]},{""start"":64,""end"":66,""text"":""ने"",""labels"":[""ADP""]},{""start"":67,""end"":72,""text"":""Ganga"",""labels"":[""PROPN""]},{""start"":73,""end"":76,""text"":""में"",""labels"":[""ADP""]},{""start"":77,""end"":81,""text"":""लगाई"",""labels"":[""VERB""]},{""start"":82,""end"":87,""text"":""डुबकी"",""labels"":[""NOUN""]}]",265.606,"Chhat Puja 2023: नहाय-खाय के साथ छठ महापर्व की शुरुआत: व्रतियों ने Ganga में लगाई डुबकी","2025-01-24T12:41:21.369114Z"
30,"1","2025-01-24T12:46:46.541033Z",14546,"[{""start"":0,""end"":10,""text"":""Interview "",""labels"":[""NOUN""]},{""start"":10,""end"":11,""text"":""|"",""labels"":[""X""]},{""start"":12,""end"":14,""text"":""ED"",""labels"":[""PROPN""]},{""start"":15,""end"":17,""text"":""और"",""labels"":[""CONJ""]},{""start"":18,""end"":21,""text"":""CBI"",""labels"":[""PROPN""]},{""start"":22,""end"":25,""text"":""के "",""labels"":[""ADP""]},{""start"":25,""end"":28,""text"":""काम"",""labels"":[""NOUN""]},{""start"":29,""end"":31,""text"":""पर"",""labels"":[""ADP""]},{""start"":32,""end"":36,""text"":""होने"",""labels"":[""VERB""]},{""start"":37,""end"":41,""text"":""वाले"",""labels"":[""ADJ""]},{""start"":42,""end"":45,""text"":""वार"",""labels"":[""NOUN""]},{""start"":46,""end"":49,""text"":""पर "",""labels"":[""PRON_WH""]},{""start"":49,""end"":53,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":54,""end"":58,""text"":""बोले"",""labels"":[""VERB""]},{""start"":59,""end"":66,""text"":""अश्विनी"",""labels"":[""PROPN""]},{""start"":67,""end"":73,""text"":""वैष्णव"",""labels"":[""PROPN""]},{""start"":74,""end"":75,""text"":""|"",""labels"":[""X""]},{""start"":76,""end"":80,""text"":""Neta"",""labels"":[""PROPN""]},{""start"":81,""end"":83,""text"":""Ji"",""labels"":[""PROPN""]},{""start"":84,""end"":92,""text"":""NewsRoom"",""labels"":[""PROPN""]},{""start"":93,""end"":97,""text"":""Mein"",""labels"":[""ADP""]}]",306.353,"Interview | ED और CBI के काम पर होने वाले वार पर क्या बोले अश्विनी वैष्णव | Neta Ji NewsRoom Mein","2025-01-24T12:46:46.541033Z"
31,"1","2025-01-24T14:00:59.195812Z",14547,"[{""start"":0,""end"":8,""text"":""Raymond "",""labels"":[""PROPN""]},{""start"":8,""end"":11,""text"":""MD "",""labels"":[""PROPN""]},{""start"":11,""end"":18,""text"":""Divorce"",""labels"":[""NOUN""]},{""start"":18,""end"":19,""text"":"":"",""labels"":[""X""]},{""start"":20,""end"":28,""text"":""Raymond "",""labels"":[""PROPN""]},{""start"":28,""end"":30,""text"":""के"",""labels"":[""ADP""]},{""start"":31,""end"":34,""text"":""MD "",""labels"":[""PROPN""]},{""start"":34,""end"":39,""text"":""गौतम "",""labels"":[""PROPN""]},{""start"":39,""end"":49,""text"":""सिंघानिया "",""labels"":[""PROPN""]},{""start"":49,""end"":55,""text"":""पत्नी "",""labels"":[""NOUN""]},{""start"":55,""end"":60,""text"":""नवाज "",""labels"":[""PROPN""]},{""start"":60,""end"":62,""text"":""से"",""labels"":[""ADP""]},{""start"":63,""end"":66,""text"":""अलग"",""labels"":[""ADJ""]},{""start"":67,""end"":70,""text"":""हुए"",""labels"":[""VERB""]}]",4444.098,"Raymond MD Divorce: Raymond के MD गौतम सिंघानिया पत्नी नवाज से अलग हुए","2025-01-24T14:00:59.195812Z"
